หลักสูตร,มหาวิทยาลัย,คณะ,ค่าใช้จ่าย (ต่อภาค),ค่าใช้จ่ายตามเว็บ
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี ปริญญาตรี 4 ปี (แผนการเรียน : ไทย),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา",https://kmutt.me/TUITION-FEES-BS-KMUTT
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี ปริญญาตรี 4 ปี (แผนการเรียน : นานาชาติ),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา",https://kmutt.me/TUITION-FEES-BS-KMUTT
วศ.บ.วิศวกรรมเคมี,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","25,000 ต่อภาคเรียน"
วศ.บ.เทคโนโลยีวิศวกรรมกระบวนเคมี,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,คณะวิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 19,000 บาท ต่อภาคการศึกษา","19,000 ต่อภาคเรียน"
วศ.บ. วิศวกรรมเคมี,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","25,000 ต่อภาคการศึกษา"
"กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
"วศ.บ.วิศวกรรมทั่วไป [ประกอบด้วย สาขาวิชาวิศวกรรมเครื่องกล, สาขาวิชาวิศวกรรม
อุตสาหการ,สาขาวิชาวิศวกรรมโยธา, สาขาวิชาวิศวกรรมไฟฟ้า, สาขาวิชาวิศวกรรมเคมีและสาขาวิชาวิศวกรรมสิ่งแวดล้อม (เลือกสาขาวิชาเมื่อขึ้นชั้นปีที่ 2)]",มหาวิทยาลัยอุบลราชธานี,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 18,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน  18,000 ต่อภาคการศึกษา หรือ 144,000 ตลอดหลักสูตร"
หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ,มหาวิทยาลัยบูรพา,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,มหาวิทยาลัยนเรศวร,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 16,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน"
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและเคมีเภสัชกรรม,มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 32,700 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน   32,700  ต่อภาคเรียน"
วศ.บ. (วิศวกรรมเคมี),มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 16120 บาท ต่อภาคการศึกษา
ค่าใช้จ่าย: 11700 บาท ต่อภาคการศึกษา",อัตราค่าบำรุงการศึกษา ภาคการศึกษาแรก 16120 บาท / ภาคการศึกษาถัดไป 11700 บาท
วศ.บ.วิศวกรรมเคมี,มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 48,100 บาท ต่อภาคการศึกษา","ค่าเล่าเรียนตลอดหลักสูตร 384,800"
