หลักสูตร,มหาวิทยาลัย,คณะ,ค่าใช้จ่าย (ต่อภาค),ค่าใช้จ่ายตามเว็บ
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา",https://kmutt.me/TUITION-FEES-BS-KMUTT
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา",https://kmutt.me/TUITION-FEES-BS-KMUTT
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","25,000 ต่อภาคเรียน"
วศ.บ. วิศวกรรมคอมพิวเตอร์,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 25,000 บาท ต่อภาคการศึกษา","25,000 ต่อภาคการศึกษา"
วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 90,000 บาท ต่อภาคการศึกษา","90,000 ต่อภาคการศึกษา"
วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 50,000 บาท ต่อภาคการศึกษา","50,000 ต่อภาคการศึกษา"
วศ.บ. วิศวกรรมคอมพิวเตอร์,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิทยาเขตชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,"ค่าใช้จ่าย: 20,000 บาท ต่อภาคการศึกษา","20,000 บาท ต่อภาคการศึกษา"
"กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิศวกรรมศาสตร์,ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 24,637.5 บาท ต่อภาคการศึกษา","197,100"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยนเรศวร,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 16,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน"
วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 32,700 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน   32,700  ต่อภาคเรียน"
วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ),มหาวิทยาลัยแม่ฟ้าหลวง,เทคโนโลยดิจิทัลประยุกต์,"ค่าใช้จ่าย: 28,000 บาท ต่อภาคการศึกษา","ค่าธรรมเนียมการศึกษา 28,000 ต่อภาคการศึกษา หรือ 224,000 บาท ตลอดหลักสูตร"
วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมศาสตร์,"ค่าใช้จ่าย: 14,000 บาท ต่อภาคการศึกษา","112,000"
วิศวกรรมศาสตรบัณฑิต,มหาวิทยาลัยนครพนม,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 9,025 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยพะเยา,คณะเทคโนโลยีสารสนเทศและการสื่อสาร,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา",https://admission.up.ac.th/uploads/admission/media/file/66ed2582eb5b7LIYYa.pdf
วศ.บ. วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยกาฬสินธุ์,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 10,150 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),มหาวิทยาลัยรามคำแหง,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 33,000 บาท ต่อภาคการศึกษา
ค่าใช้จ่าย: 26,000 บาท ต่อภาคการศึกษา","เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท (เหมาจ่ายรายเทอม ลงทะเบียนได้ไม่เกิน 22 - 24 หน่วยกิต) หลักสูตร 4 ปี"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),มหาวิทยาลัยรามคำแหง,คณะวิศวกรรมศาสคร์,"ค่าใช้จ่าย: 63,260 บาท ต่อภาคการศึกษา","ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)"
วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,สถาบันเทคโนโลยีจิตรลดา,คณะเทคโนโลยีดิจิทัล,"ค่าใช้จ่าย: 31,500 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 31,500 ต่อภาคเรียน หรือ 252,000 บาท ตลอดหลักสูตร"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยราชภัฏพิบูลสงคราม,คณะเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 12,000 บาท ต่อภาคการศึกษา","ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา"
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยราชภัฏสวนสุนันทา,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 18,500 บาท ต่อภาคการศึกษา","ค่าลงทะเบียนเรียน 18,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม  ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login"
วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,มหาวิทยาลัยราชภัฏอุบลราชธานี,คณะเทคโนโลยีอุตสาหกรรม,"ค่าใช้จ่าย: 9,076.25 บาท ต่อภาคการศึกษา","72,610 บาท"
วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะครุศาสตร์อุตสาหกรรม,ค่าใช้จ่าย: 14000 บาท ต่อภาคการศึกษา,100000 ตลอดหลักสูตร  (14000 ต่อภาคเรียน)
วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 20000 บาท ต่อภาคการศึกษา,20000 บาท/ภาคการศึกษา
วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 16120 บาท ต่อภาคการศึกษา
ค่าใช้จ่าย: 11700 บาท ต่อภาคการศึกษา",อัตราค่าบำรุงการศึกษา ภาคการศึกษาแรก 16120 บาท / ภาคการศึกษาถัดไป 11700 บาท
วศ.บ. วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,คณะวิศวกรรมศาสตร์,ค่าใช้จ่าย: 15000 บาท ต่อภาคการศึกษา,15000
วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา","สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา"
อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,คณะอุตสาหกรรมและเทคโนโลยี,"ค่าใช้จ่าย: 15,000 บาท ต่อภาคการศึกษา","สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา"
วศ.บ. วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 13,750 บาท ต่อภาคการศึกษา","110,000"
วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 13,750 บาท ต่อภาคการศึกษา","110,000"
วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 13,750 บาท ต่อภาคการศึกษา","110,000"
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,คณะวิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 12,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 152,000 บาท ตลอดหลักสูตร"
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยศรีปทุม,คณะเทคโนโลยีสารสนเทศ (กทม.),ค่าใช้จ่าย: 0 บาท ต่อภาคการศึกษา,0
หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),มหาวิทยาลัยหอการค้าไทย,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 42,500 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร"
วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมศาสตร์,ค่าใช้จ่าย: ไม่พบข้อมูลต่อภาคการศึกษา,_
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยรังสิต,วิทยาลัยวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 49,600 บาท ต่อภาคการศึกษา","ค่าเล่าเรียนตลอดหลักสูตร 396,800"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยธุรกิจบัณฑิตย์,วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,ค่าใช้จ่าย: 42125 บาท ต่อภาคการศึกษา,ค่าเล่าเรียนตลอดหลักสูตร 337000 บาท
วศ.บ.วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษมบัณฑิต,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 35,250 บาท ต่อภาคการศึกษา","282,000 บาท ตลอดหลักสูตร"
วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสยาม,คณะวิศวกรรมศาสตร์,"ค่าใช้จ่าย: 37,937.5 บาท ต่อภาคการศึกษา","ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท"
หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,สถาบันการจัดการปัญญาภิวัฒน์,คณะวิศวกรรมศาสตร์และเทคโนโลยี,"ค่าใช้จ่าย: 48,000 บาท ต่อภาคการศึกษา","อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)"
